occurrence,search,text_id,document_file,genre,year,document_word_count,title,author,source,token_index,match_word_1,match_lemma_1,match_pos_1,corpus_token_id_1,word_id_1,context_before,matched_text,context_after,full_context
11,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,66716,insanity,insanity,nn1,42873194,11581,"fancied wrongs . His mind had never been entirely sound , and years tinged it more and more deeply with",insanity,. His philosophy @ @ @ @ @ @ @ @ @ @ glimmer when read by this . He,"fancied wrongs . His mind had never been entirely sound , and years tinged it more and more deeply with insanity . His philosophy @ @ @ @ @ @ @ @ @ @ glimmer when read by this . He"
12,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,78509,insanity,insanity,nn1,42884987,11581,"written its darkening record in his book of life . Here had been schemed that plan of revenge , whose",insanity,the insane schemer could not perceive . Nor could he understand that mightier powers than he could master worked against,"written its darkening record in his book of life . Here had been schemed that plan of revenge , whose insanity the insane schemer could not perceive . Nor could he understand that mightier powers than he could master worked against"
13,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,78511,insane,insane,jj,42884989,5931,"darkening record in his book of life . Here had been schemed that plan of revenge , whose insanity the",insane,"schemer could not perceive . Nor could he understand that mightier powers than he could master worked against him ,","darkening record in his book of life . Here had been schemed that plan of revenge , whose insanity the insane schemer could not perceive . Nor could he understand that mightier powers than he could master worked against him ,"
14,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,82500,insanity,insanity,nn1,42888978,11581,"was a panoply against ill of mind or body . He thought he perceived , once for all , the",insanity,of selfishness and sin . Suddenly he was conscious through Gnulemah of the same shiver that had visited her in,"was a panoply against ill of mind or body . He thought he perceived , once for all , the insanity of selfishness and sin . Suddenly he was conscious through Gnulemah of the same shiver that had visited her in"
15,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,87484,insane,insane,jj,42893962,5931,key has unlocked the fair front of your complacency and revealed the wizened deformity behind it . You have been,insane,; but the anguish that would craze a sane man clears the mist from your reason . You behold the,key has unlocked the fair front of your complacency and revealed the wizened deformity behind it . You have been insane ; but the anguish that would craze a sane man clears the mist from your reason . You behold the
16,insan,2950,fic_1889_2950.txt,FIC,1889,82035,Medoline Selwyn's Work,"Colter, Hattie E.",,16253,insanity,insanity,nn1,21989993,11581,""" I said , bowing to Mrs. Flaxman ; "" but wo n't you tell me what her tendency to",insanity,"is ; for I believe cranks are a species of madmen , if I rightly @ @ @ @ @",""" I said , bowing to Mrs. Flaxman ; "" but wo n't you tell me what her tendency to insanity is ; for I believe cranks are a species of madmen , if I rightly @ @ @ @ @"
17,insan,550050,mag_1889_550050.txt,MAG,1889,5957,Nashville,A. S. Colyar,New England Magazine: October 1889: 130-144,4752,Insane,insane,jj,401225544,62736,"a late wealthy citizen , dedicated to public use . The Randall Cole Reformatory and the Orphan Asylum , the",Insane,"Asylum , and the Blind Asylum are all splendid buildings that would be a credit to any city , and","a late wealthy citizen , dedicated to public use . The Randall Cole Reformatory and the Orphan Asylum , the Insane Asylum , and the Blind Asylum are all splendid buildings that would be a credit to any city , and"
18,insan,4350,fic_1890_4350.txt,FIC,1890,51484,Mizora: A Prophecy A MSS. Found Among the Private Papers of the Princess Vera Zarovitch,"Lane, Mary E. Bradley",,56987,insane,insane,jj,35803440,5931,"To think I am never to see it in this world , nor through endless ages , would drive me",insane,"with despair . What consolation can your belief offer me ? "" "" In this life , you may yearn","To think I am never to see it in this world , nor through endless ages , would drive me insane with despair . What consolation can your belief offer me ? "" "" In this life , you may yearn"
19,insan,4350,fic_1890_4350.txt,FIC,1890,51484,Mizora: A Prophecy A MSS. Found Among the Private Papers of the Princess Vera Zarovitch,"Lane, Mary E. Bradley",,61307,insanity,insanity,nn1,35807760,11581,to follow their laws . Crime @ @ @ @ @ @ @ @ @ @ the transmittable taint of,insanity,"and consumption . There are some people in the world now , who , knowing the possibility of afflicting offspring","to follow their laws . Crime @ @ @ @ @ @ @ @ @ @ the transmittable taint of insanity and consumption . There are some people in the world now , who , knowing the possibility of afflicting offspring"
20,insan,3350,fic_1896_3350.txt,FIC,1896,79950,"We Ten Or, The Story of the Roses","Yechton, Barbara, [pseud.], 1864-1939",,74214,insane,insane,jj,33663901,5931,"I was seated in the carriage , right under Mr. and Mrs. Erveng 's eyes , I got the most",insane,"desire to scream out loud , or burst the door open and jump out : I had to sit up","I was seated in the carriage , right under Mr. and Mrs. Erveng 's eyes , I got the most insane desire to scream out loud , or burst the door open and jump out : I had to sit up"
21,insan,562750,mag_1896_562750.txt,MAG,1896,4982,Can the Criminal Be Reclaimed?,Dr. H. S. Williams,North American Review: August 1896: 207-219,2838,insanity,insanity,nn1,408176003,11581,"anxieties , business and social difficulties , worriments , prey on the mind ; if they are not repelled ,",insanity,"results . Natural appetites , long inherent propensities whose gratification is no longer consistent with the existing standards of society","anxieties , business and social difficulties , worriments , prey on the mind ; if they are not repelled , insanity results . Natural appetites , long inherent propensities whose gratification is no longer consistent with the existing standards of society"
22,insan,562750,mag_1896_562750.txt,MAG,1896,4982,Can the Criminal Be Reclaimed?,Dr. H. S. Williams,North American Review: August 1896: 207-219,3634,insanity,insanity,nn1,408176799,11581,"@ @ as to the heredity of these persons , it is found to average of the very worst ,",insanity,"or epilepsy being traced in the ancestry of 12 per cent . of cases , and drunkenness "" clearly traced","@ @ as to the heredity of these persons , it is found to average of the very worst , insanity or epilepsy being traced in the ancestry of 12 per cent . of cases , and drunkenness "" clearly traced"
23,insan,750650,nf_1896_750650.txt,NF,1896,82072,"History of the Impeachment of Andrew Johnson, President of the United States, by the House of Repres","Ross, Edmund G. (Edmund Gibson), 1826-1907",,31594,insane,insane,jj,481396973,5931,"things demands that it should be so . "" Suppose , "" it was said , "" a man becomes",insane,"by the visitation of God , and is likely to ruin our affairs ; are the hands of Government to","things demands that it should be so . "" Suppose , "" it was said , "" a man becomes insane by the visitation of God , and is likely to ruin our affairs ; are the hands of Government to"
24,insan,1150,fic_1908_1150.txt,FIC,1908,118408,Peter: a novel of which he is not the hero,"Smith, Francis Hopkinson, 1838-1915",Charles Scribner's Sons,131723,insane,insane,jj,199654993,5931,she had passed through the agonizing ordeal of the funeral -- he accepting all her delusions as true -- as one does when an,insane,"person is to be coaxed back into a cell . These thoughts went whirling through his mind , as Peter","she had passed through the agonizing ordeal of the funeral -- he accepting all her delusions as true -- as one does when an insane person is to be coaxed back into a cell . These thoughts went whirling through his mind , as Peter"
25,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,24,insane,insane,jj,558852917,5931,"hack after "" a false , pretended , and grossly negligent examination , "" issued a certificate that she was",insane,", and thus procured , at the petition of her husband , her incarceration in the Middletown State Homeopathic Hospital","hack after "" a false , pretended , and grossly negligent examination , "" issued a certificate that she was insane , and thus procured , at the petition of her husband , her incarceration in the Middletown State Homeopathic Hospital"
26,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,48,Insane,insane,jj,558852941,62736,"procured , at the petition of her husband , her incarceration in the Middletown State Homeopathic Hospital . for the",Insane,", while her husband thereby was enabled to "" ' defraud her of large tracts of land in Rockland County","procured , at the petition of her husband , her incarceration in the Middletown State Homeopathic Hospital . for the Insane , while her husband thereby was enabled to "" ' defraud her of large tracts of land in Rockland County"
27,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,349,insane,insane,jj,558853242,5931,"quarrels arose over the management of the property , until , according to Mrs. Warner , her husband became almost",insane,over the matter . She says he manifested his own insanity by suspecting those dearest to him of seeking to,"quarrels arose over the management of the property , until , according to Mrs. Warner , her husband became almost insane over the matter . She says he manifested his own insanity by suspecting those dearest to him of seeking to"
28,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,360,insanity,insanity,nn1,558853253,11581,"according to Mrs. Warner , her husband became almost insane over the matter . She says he manifested his own",insanity,"by suspecting those dearest to him of seeking to injure him , and finally by imagine his own mental trouble","according to Mrs. Warner , her husband became almost insane over the matter . She says he manifested his own insanity by suspecting those dearest to him of seeking to injure him , and finally by imagine his own mental trouble"
29,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,426,insane,insane,jj,558853319,5931,"husband brought two strangers to our home at Clarkstown , whom I later learned to be physicians connected with the",insane,", pavilion at Bellevue . They questioned me for barely fifteen minutes on various topics , and then went away","husband brought two strangers to our home at Clarkstown , whom I later learned to be physicians connected with the insane , pavilion at Bellevue . They questioned me for barely fifteen minutes on various topics , and then went away"
30,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,507,Insane,insane,jj,558853400,62736,"husband , Justice William I. Gaynor issued a commitment for my confinement in the Middletown State Homeopathic Hospital for the",Insane,". It seems very strange now , "" she added , "" to hear this same Justice protesting against the","husband , Justice William I. Gaynor issued a commitment for my confinement in the Middletown State Homeopathic Hospital for the Insane . It seems very strange now , "" she added , "" to hear this same Justice protesting against the"
31,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,773,insane,insane,jj,558853666,5931,"Washington Heights yesterday , "" until this delusion took possession of him . Then , as is characteristic of the",insane,", he turned against those dearest to him and began to suspect them of insanity . "" @ @ @","Washington Heights yesterday , "" until this delusion took possession of him . Then , as is characteristic of the insane , he turned against those dearest to him and began to suspect them of insanity . "" @ @ @"
32,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,788,insanity,insanity,nn1,558853681,11581,"as is characteristic of the insane , he turned against those dearest to him and began to suspect them of",insanity,". "" @ @ @ @ @ @ @ @ @ @ , Mrs. Warner brought action in the Supreme","as is characteristic of the insane , he turned against those dearest to him and began to suspect them of insanity . "" @ @ @ @ @ @ @ @ @ @ , Mrs. Warner brought action in the Supreme"
33,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,847,insane,insane,jj,558853740,5931,"a false , pretended , and grossly negligen , examination of the plantiff 's sanity , certi-fied her to be",insane,", and in need of restraint ; whereas , she never was and is not now insane : and that","a false , pretended , and grossly negligen , examination of the plantiff 's sanity , certi-fied her to be insane , and in need of restraint ; whereas , she never was and is not now insane : and that"
34,insan,781450,news_1909_781450.txt,NEWS,1909,1030,"ACCUSES PHYSICIANS IN A LUNACY CASE; Mrs. Warner, Sent to Asylum on Word of Drs. Packer and Wilgus, Seeks to Collect Judgment. PUTS SHERIFF ON ",WILL IRWIN. Author of ',New York Times: (Features): 19091015,864,insane,insane,jj,558853757,5931,"her to be insane , and in need of restraint ; whereas , she never was and is not now",insane,: and that the defendants ' neglected ' to use reasonable and ordinary care to ascertain her true mental condition,"her to be insane , and in need of restraint ; whereas , she never was and is not now insane : and that the defendants ' neglected ' to use reasonable and ordinary care to ascertain her true mental condition"
35,insan,493050,mag_1915_493050.txt,MAG,1915,2793,Playing Germany's Game,,"The New Republic: 12/4/15, Vol. 5 Issue 57, p108-110, 3p",410,insanity,insanity,nn1,370993472,11581,"@ @ @ @ @ @ @ @ @ @ against the use ? lessness of hate , against the",insanity,which pro ? poses to atone for a crime by committing more crimes . Then we should be in a,"@ @ @ @ @ @ @ @ @ @ against the use ? lessness of hate , against the insanity which pro ? poses to atone for a crime by committing more crimes . Then we should be in a"
36,insan,1550,fic_1919_1550.txt,FIC,1919,48889,The Valley of Vision : a Book of Romance an Some Half Told Tales,"Van Dyke, Henry, 1852-1933",Charles Scribner's Sons,37652,insane,insane,jj,213553297,5931,"then you would throw him out ? "" "" Certainly , and quickly ! I should regard him as morally",insane,", and try my best to put him where he could do no more harm . But tell me why","then you would throw him out ? "" "" Certainly , and quickly ! I should regard him as morally insane , and try my best to put him where he could do no more harm . But tell me why"
37,insan,1550,fic_1919_1550.txt,FIC,1919,48889,The Valley of Vision : a Book of Romance an Some Half Told Tales,"Van Dyke, Henry, 1852-1933",Charles Scribner's Sons,38554,insane,insane,jj,213554199,5931,which sent Germany out to subjugate the other nations in 1914 ? The egregious General von der Goltz voiced the,insane,"arrogance which made this war when he said , ' The nineteenth century saw a German Empire , the twentieth","which sent Germany out to subjugate the other nations in 1914 ? The egregious General von der Goltz voiced the insane arrogance which made this war when he said , ' The nineteenth century saw a German Empire , the twentieth"
38,insan,550,fic_1920_550.txt,FIC,1920,83754,The Drums of Jeopardy,"MacGrath, Harold, 1871-1932",,47960,insane,insane,jj,224609418,5931,"without being absolutely sure , would be folly . Gregor would be killed . The house was in fact an",insane,"asylum , occupied by super-insane men . Warned , they were capable of blowing the house to kingdom come ,","without being absolutely sure , would be folly . Gregor would be killed . The house was in fact an insane asylum , occupied by super-insane men . Warned , they were capable of blowing the house to kingdom come ,"
39,insan,433150,mag_1921_433150.txt,MAG,1921,6766,England's Navy and disarmament,Arthur Hungerford Pollen,The Atlantic Monthly: Dec 1921: p. 818,914,insane,insane,jj,334621506,5931,". To be strictly accurate , she has built other ships , bigger than any battleships , but they were",insane,"freaks , the offspring of fantastic and unwarlike notions , whose fabulous cost and complete futility would have excited angry",". To be strictly accurate , she has built other ships , bigger than any battleships , but they were insane freaks , the offspring of fantastic and unwarlike notions , whose fabulous cost and complete futility would have excited angry"
40,insan,433150,mag_1921_433150.txt,MAG,1921,6766,England's Navy and disarmament,Arthur Hungerford Pollen,The Atlantic Monthly: Dec 1921: p. 818,4533,insane,insane,jj,334625125,5931,target of every modern carper at the old regime . But the adhesion of Enalithd to it arose from no,insane,"militarism , nor from any blind devotion to an old-world and corrupt diplomacy . If for more than two hundred","target of every modern carper at the old regime . But the adhesion of Enalithd to it arose from no insane militarism , nor from any blind devotion to an old-world and corrupt diplomacy . If for more than two hundred"
41,insan,163950,mag_1927_163950.txt,MAG,1927,192,Kindly Murder,,Time Magazine: 1927/01/24,130,insane,insane,jj,299973739,5931,"produced last week at Frankfurt-an-der-Oder . <P> The mother in this play poisons her daughter who is violently , permanently",insane,". "" I have killed her , "" she stubbornly cries , although the mummer jury considers the murder kindly","produced last week at Frankfurt-an-der-Oder . <P> The mother in this play poisons her daughter who is violently , permanently insane . "" I have killed her , "" she stubbornly cries , although the mummer jury considers the murder kindly"
42,insan,5650,fic_1933_5650.txt,FIC,1933,14365,Under Arctic Ice,"Winter, H. G.",[Short story] In: New York,2643,insane,insane,jj,236946706,5931,"put it inside the amphibian 's passenger compartment . It was robbery , and of course they 'd thought him",insane,", but they did n't dare cross him . He had told them cheerfully he was going after the Peary","put it inside the amphibian 's passenger compartment . It was robbery , and of course they 'd thought him insane , but they did n't dare cross him . He had told them cheerfully he was going after the Peary"
43,insan,10050,fic_1934_10050.txt,FIC,1934,50456,Passions Spin the Plot,Vardis Fisher,"Doubleday & Company, Inc.1960",485,insanity,insanity,nn1,244279103,11581,. He felt again the terrible silence but within it was the fluting of larks . He touched the yellow,insanity,of the sun and felt under it the warm deep peace of earth . And so the picture shaped itself,. He felt again the terrible silence but within it was the fluting of larks . He touched the yellow insanity of the sun and felt under it the warm deep peace of earth . And so the picture shaped itself
44,insan,10050,fic_1934_10050.txt,FIC,1934,50456,Passions Spin the Plot,Vardis Fisher,"Doubleday & Company, Inc.1960",23607,insane,insane,jj,244302245,5931,"a childish , a most ridiculous , thing . Credulous , yet suspicious , and with jealousy that could become",insane,", he had never convinced himself of Neloa 's love . Not that he had any reason for doubt .","a childish , a most ridiculous , thing . Credulous , yet suspicious , and with jealousy that could become insane , he had never convinced himself of Neloa 's love . Not that he had any reason for doubt ."
45,insan,23350,fic_1937_23350.txt,FIC,1937,4650,Lady in trouble,Margery Sharp,Harpers Magazine (193708) pages: 275-282,2792,insane,insane,jj,142484694,5931,"blighter had providentially disappeared , without a thought in the world except how to get him back ! It was",insane,"! It was fine in its way , but @ @ @ @ @ @ @ @ @ @ her","blighter had providentially disappeared , without a thought in the world except how to get him back ! It was insane ! It was fine in its way , but @ @ @ @ @ @ @ @ @ @ her"
46,insan,780150,fic_1941_780150.txt,FIC,1941,47175,Delilah,Marcus Goodrich,"New York: Rinehart & Company, Inc.",6375,insanely,insanely,rr,533058004,41313,forward in a fierce gesture . The dark liquid of his eyes had turned to glaring metal . They were,insanely,"threatening in his unshaven face , like the eyes of a large rat cornered in the murk of the forecastle","forward in a fierce gesture . The dark liquid of his eyes had turned to glaring metal . They were insanely threatening in his unshaven face , like the eyes of a large rat cornered in the murk of the forecastle"
47,insan,780150,fic_1941_780150.txt,FIC,1941,47175,Delilah,Marcus Goodrich,"New York: Rinehart & Company, Inc.",11826,insane,insane,jj,533063455,5931,"from a pod , the helpless men into the sea in a chaos of oars , boat and tons of",insane,"water that meant pounding , smothering destruction ; or the boat would jerk broadside on to the sea , be","from a pod , the helpless men into the sea in a chaos of oars , boat and tons of insane water that meant pounding , smothering destruction ; or the boat would jerk broadside on to the sea , be"
48,insan,780150,fic_1941_780150.txt,FIC,1941,47175,Delilah,Marcus Goodrich,"New York: Rinehart & Company, Inc.",50457,insanely,insanely,rr,533102106,41313,"the submarine @ @ @ @ @ @ @ @ @ @ trying to locate the water , then leapt",insanely,"as if trusting to chance . The unseen splash of his body , counterpointed by the involuntary sounds this tore","the submarine @ @ @ @ @ @ @ @ @ @ trying to locate the water , then leapt insanely as if trusting to chance . The unseen splash of his body , counterpointed by the involuntary sounds this tore"
49,insan,23550,fic_1948_23550.txt,FIC,1948,7865,All prisoners here,Irving Pfeffer,Harpers Magazine (194804) pages: 370-380,6806,insane,insane,jj,143708124,5931,"threw himself on Morrisson . His hands were on the man 's throat , and there was a look of",insane,"release on his face . Morrisson woke in terror , crying out . The corpsman @ @ @ @ @","threw himself on Morrisson . His hands were on the man 's throat , and there was a look of insane release on his face . Morrisson woke in terror , crying out . The corpsman @ @ @ @ @"
50,insan,773450,nf_1948_773450.txt,NF,1948,20267,"Anthropology: Race, Language, Culture, Psychology, Prehistory",A.L. Kroeber,"Harcourt, Brace, and Company, New York",22430,insane,insane,jj,499529834,5931,"subnormal . When the sane and well in one culture believe what only the most ignorant , warped , and",insane,"believe in another , there would seem to be some warrant for rating the first culture lower and the second","subnormal . When the sane and well in one culture believe what only the most ignorant , warped , and insane believe in another , there would seem to be some warrant for rating the first culture lower and the second"
51,insan,773450,nf_1948_773450.txt,NF,1948,20267,"Anthropology: Race, Language, Culture, Psychology, Prehistory",A.L. Kroeber,"Harcourt, Brace, and Company, New York",22458,insane,insane,jj,499529862,5931,"to be some warrant for rating the first culture lower and the second higher . Or are our discards ,",insane,", and hypersuggestibles perhaps right and the rest of us wrong ? For instance , a Lassik Indian woman in","to be some warrant for rating the first culture lower and the second higher . Or are our discards , insane , and hypersuggestibles perhaps right and the rest of us wrong ? For instance , a Lassik Indian woman in"
52,insan,10350,fic_1956_10350.txt,FIC,1956,38197,Compulsion,Levin Meyer,,23586,insanity,insanity,nn1,262820627,11581,were the primal threats of girlish imaginings . What would I do if I loved a man and there was,insanity,in the family ? There even appeared the specter of the ghastly disease : perhaps he had caught syphilis in,were the primal threats of girlish imaginings . What would I do if I loved a man and there was insanity in the family ? There even appeared the specter of the ghastly disease : perhaps he had caught syphilis in
53,insan,4150,fic_1960_4150.txt,FIC,1960,7576,The Ambulance Made Two Trips,"Leinster, Murray, 1896-1975",[Short story] In: Astounding Stories,7067,insanely,insanely,rr,239446027,41313,was a metallic clang . Then silence . In a very little while the dust-cloud cleared . One figure struggled,insanely,". Upon him descended -- from an oil drum of cylinder-oil stored above the rafters -- a tranquil , glistening rod of opalescent cylinder-oil","was a metallic clang . Then silence . In a very little while the dust-cloud cleared . One figure struggled insanely . Upon him descended -- from an oil drum of cylinder-oil stored above the rafters -- a tranquil , glistening rod of opalescent cylinder-oil"
54,insan,16750,fic_1965_16750.txt,FIC,1965,32726,Ship of Fools,,[Movie script],8326,insane,insane,jj,165643458,5931,back on the sink . &nbsp; LOWENTHALMy name is Julius Lowenthal . Rieber stares at him as though he were,insane,. &nbsp; LOWENTHALI take it you are not exactly pleased that we are shipmates on this voyage . You may,back on the sink . &nbsp; LOWENTHALMy name is Julius Lowenthal . Rieber stares at him as though he were insane . &nbsp; LOWENTHALI take it you are not exactly pleased that we are shipmates on this voyage . You may
55,insan,208250,mag_1965_208250.txt,MAG,1965,320,Censoring Orphan Annie,,Time Magazine: 1965/02/26,28,insane,insane,jj,309327614,5931,"The egg-bald guardian of that ageless comic-strip carrot top , Little Orphan Annie , has been railroaded into a private",insane,"asylum run by one Dr. Le Quaque . "" Worse'n a real prison , "" says Annie , after casing","The egg-bald guardian of that ageless comic-strip carrot top , Little Orphan Annie , has been railroaded into a private insane asylum run by one Dr. Le Quaque . "" Worse'n a real prison , "" says Annie , after casing"
